Salinity;Clustering_index
40;0.3773134328
38;0.3855639098
37;0.3854545455
35;0.3893129771
32;0.3956923077
28;0.3913178295
24.2;0.3990625000
24;0.4000000000
23;0.3961904762
23;0.3939200000
21;0.3900000000
16.9;0.3951219512
16.2;0.3986885246
15.4;0.4000000000
15;0.3930000000
14.8;0.3956302521
13.8;0.4013559322
11.5;0.4003418803
11.2;0.4034482759
11;0.4006956522
10.6;0.3898245614
10.5;0.3823008850
10.1;0.3821428571
10;0.3848648649
9.8;0.3920000000
9;0.3889908257
8.8;0.3885185185
8.4;0.3887850467
7.8;0.3830188679
7.8;0.3851428571
7.5;0.3915384615
7;0.3972815534
6.9;0.3929411765
6.8;0.3948514851
6.6;0.4000000000
6.2;0.3919191919
6;0.3897959184
6;0.4000000000
6;0.4045833333
5.9;0.4004210526
5.9;0.3906382979
5.8;0.3987096774
5.8;0.4026086957
5.8;0.3920879121
5.8;0.3995555556
5;0.3941573034
4.9;0.3813636364
4.8;0.3816091954
4.6;0.3874418605
4.5;0.3783529412
4.3;0.3757142857
4.3;0.3778313253
4.1;0.3653658537
4;0.3659259259
4;0.3575000000
4;0.3432911392
4;0.3507692308
4;0.3537662338
3.95;0.3505263158
3.8;0.3386666667
3.8;0.3286486486
3.7;0.3342465753
3.5;0.3361111111
3.4;0.3239436620
3.4;0.3308571429
3.3;0.3217391304
3.3;0.3311764706
3.3;0.3277611940
3.2;0.3321212121
3.2;0.3218461538
3.2;0.3093750000
3.2;0.2977777778
3.1;0.3025806452
3.1;0.2957377049
3;0.2780000000
3;0.2637288136
3;0.2703448276
3;0.2554385965
2.9;0.2600000000
2.9;0.2472727273
2.9;0.2511111111
2.8;0.2332075472
2.8;0.2230769231
2.8;0.2086274510
2.5;0.2064000000
2.5;0.2155102041
2.4;0.1950000000
2.3;0.1804255319
2.3;0.1852173913
2.2;0.1706666667
2.1;0.1372727273
2.1;0.1190697674
2.1;0.1019047619
2;0.1082926829
2;0.1060000000
2;0.1138461538
2;0.1136842105
1.9;0.1156756757
1.8;0.1122222222
1.8;0.1142857143
1.8;0.1176470588
1.7;0.1224242424
1.7;0.1262500000
1.6;0.0967741935
1.6;0.1000000000
1.5;0.0689655172
1.5;0.0714285714
1.5;0.0740740741
1.2;0.0384615385
1.2;0.0400000000
1.2;0.0433333333
1.2;0.0434782609
1.2;0.0454545455
1.1;0.0476190476
1.1;0.0500000000
1.1;0.0526315789
1.1;0.0000000000
1.0000000000;0.0000000000
1.0000000000;0.0000000000
1.0000000000;0.0000000000
1.0000000000;0.0000000000
1.0000000000;0.0000000000
1.0000000000;0.0000000000
1.0000000000;0.0000000000
