genome	sums
IMG_2228664051	7.92E-05
IMG_2236347069	0.000168564
IMG_2502545039	0.000106248
IMG_2503538021	6.10E-07
IMG_2503538028	4.16E-05
IMG_2503707007	3.63E-05
IMG_2503982035	1.20E-05
IMG_2503982047	3.10E-06
IMG_2504136006	2.24E-06
IMG_2504557005	2.74E-05
IMG_2504557021	0.006047147
IMG_2504643007	0.005493812
IMG_2504756004	5.98E-06
IMG_2505119037	0.000299847
IMG_2505679030	2.81E-06
IMG_2505679089	1.66E-05
IMG_2505679121	0.002178152
IMG_2506485001	5.05E-05
IMG_2506783053	0.001278557
IMG_2506783061	1.37E-06
IMG_2508501011	0.000426561
IMG_2508501031	0.001667533
IMG_2508501048	5.04E-06
IMG_2508501050	1.00E-05
IMG_2509276020	1.29E-06
IMG_2509276028	1.15E-05
IMG_2509276051	1.98E-06
IMG_2509276057	0.000145622
IMG_2509276059	0.000277188
IMG_2509601022	0.000987968
IMG_2509601026	0.002565997
IMG_2509601035	1.03E-06
IMG_2509601041	7.67E-06
IMG_2509887032	6.24E-05
IMG_2510065050	2.03E-06
IMG_2510065058	3.39E-06
IMG_2510461070	9.23E-07
IMG_2510917000	0.000405382
IMG_2511231002	0.011762958
IMG_2511231003	0.001693004
IMG_2511231016	2.68E-05
IMG_2511231026	0.000178907
IMG_2511231080	9.34E-05
IMG_2511231158	7.43E-07
IMG_2511231177	0.000712288
IMG_2512047034	2.15E-05
IMG_2512047035	5.23E-05
IMG_2512047061	0.003281485
IMG_2512047087	0.000289288
IMG_2512564004	0.040330454
IMG_2512564005	0.000345819
IMG_2512564006	0.000576511
IMG_2512564033	8.66E-06
IMG_2512564054	1.55E-05
IMG_2512875015	0.000380863
IMG_2513020052	0.011722158
IMG_2513237111	0.000427473
IMG_2513237155	2.80E-06
IMG_2513237278	0.000174143
IMG_2513237284	0.028152791
IMG_2513237304	2.78E-05
IMG_2513237349	1.71E-06
IMG_2513237378	0.000135721
IMG_2513237399	8.34E-06
IMG_2514885042	3.63E-05
IMG_2515154015	1.54E-06
IMG_2515154050	1.44E-05
IMG_2515154070	1.57E-06
IMG_2515154112	1.98E-05
IMG_2515154118	3.16E-05
IMG_2515154145	2.43E-06
IMG_2515154146	0.000207882
IMG_2515154152	3.29E-06
IMG_2515154158	0.001708454
IMG_2515154190	0.000303354
IMG_2515154207	1.39E-05
IMG_2516143004	4.50E-05
IMG_2516143113	1.23E-06
IMG_2516493019	4.00E-06
IMG_2516493023	8.88E-06
IMG_2516493026	9.42E-05
IMG_2516653037	0.004333831
IMG_2516653049	3.60E-06
IMG_2516653055	0.000173545
IMG_2517093015	0.000155443
